trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-06-08,Cariboo,FRASER-FORT GEORGE,49,42,8,,,,31,2,,1,6,6,,,1,,,16346909,333610.4,272500,242673.49,3400
2016-06-15,Cariboo,FRASER-FORT GEORGE,65,62,12,,,1,42,7,,,2,2,,,,1,,17447001,268415.4,275000,219719.63,3400
2016-06-22,Cariboo,FRASER-FORT GEORGE,158,157,25,1,1,,116,10,,4,,,,,1,,,44126740,279283.2,258700,579128.01,3100
2016-07-01,Cariboo,FRASER-FORT GEORGE,46,44,12,,,,23,4,,5,,,,,2,,,12531271,272418.9,240000,154315,2750
2016-07-08,Cariboo,FRASER-FORT GEORGE,77,73,13,,,3,47,7,,3,1,1,,,2,1,,19510060,253377.4,260000,250110.2,3000
2016-07-15,Cariboo,FRASER-FORT GEORGE,74,70,10,,1,,41,3,,15,4,4,,,,,,20700191,279732.3,187500,323483.7,1772.5
2016-07-22,Cariboo,FRASER-FORT GEORGE,92,92,10,1,1,,71,7,,2,,,,,,,,23250710,252725.1,252750,290464.18,2940
2016-08-01,Cariboo,FRASER-FORT GEORGE,49,45,5,1,,1,34,2,,2,2,2,,,,,2,17219031,351408.8,246095.2,270739.62,2921.9
2016-08-08,Cariboo,FRASER-FORT GEORGE,39,38,12,,,,23,2,,1,,,,,,1,,8039000,206128.2,229900,102928,2598
2016-08-15,Cariboo,FRASER-FORT GEORGE,67,66,16,,1,,45,2,,2,1,,,1,,,,17851408,266438.9,248500,245412.37,2970
2016-08-22,Cariboo,FRASER-FORT GEORGE,123,116,17,,,,87,11,,1,2,2,,,5,,,28850198,234554.5,238000,360039.31,2640
2016-09-01,Cariboo,FRASER-FORT GEORGE,54,54,7,1,,,35,9,,2,,,,,,,,13277772,245884.7,223500,162513.42,2012.5
2016-09-08,Cariboo,FRASER-FORT GEORGE,47,46,6,,,,35,3,,2,,,,,1,,,11439771,243399.4,232500,145988.43,2650
2016-09-15,Cariboo,FRASER-FORT GEORGE,55,53,7,,,,42,3,,1,2,2,,,,,,13810136,251093.4,227900,172112.53,2400
2016-09-22,Cariboo,FRASER-FORT GEORGE,99,95,9,5,1,1,57,11,,11,2,1,,1,2,,,27322478,275984.6,262500,363060.88,3150
2016-10-01,Cariboo,FRASER-FORT GEORGE,50,47,7,,,,36,,,4,3,2,,1,,,,11385320,227706.4,241201.5,137929.58,2352.5
2016-10-08,Cariboo,FRASER-FORT GEORGE,67,62,20,,4,,30,4,,4,2,2,,,,2,1,16095434,240230.4,220000,209950.04,2400
2016-10-15,Cariboo,FRASER-FORT GEORGE,44,43,9,,,,30,2,,2,,,,,,,1,10821861,245951.4,257750,125853.44,2649
2016-10-22,Cariboo,FRASER-FORT GEORGE,95,89,10,1,,1,50,2,,25,6,2,,4,,,,26991545,284121.5,256500,362674.05,3000
2016-06-01,Kootenay,CENTRAL KOOTENAY,53,53,13,1,,2,32,3,,2,,,,,,,,14652791,276467.7,244000,204466.74,2800
2016-06-08,Kootenay,CENTRAL KOOTENAY,30,26,9,,,,15,1,,1,4,3,,1,,,,8847298,294909.9,265000,126805.22,3300
2016-06-15,Kootenay,CENTRAL KOOTENAY,39,38,12,3,1,,21,1,,,1,1,,,,,,9899115,253823.5,269000,131908.98,3380
2016-06-22,Kootenay,CENTRAL KOOTENAY,118,111,23,2,,1,75,9,,1,5,5,,,2,,,34079296,288807.6,240000,505389.96,2780
2016-07-01,Kootenay,CENTRAL KOOTENAY,18,18,3,2,,,12,1,,,,,,,,,,4346515,241473.1,257750,57636.65,3155
2016-07-08,Kootenay,CENTRAL KOOTENAY,45,44,12,,,,31,1,,,,,,,,1,,10094230,224316.2,210000,130028.52,2200
2016-07-15,Kootenay,CENTRAL KOOTENAY,44,42,15,1,1,,24,1,,,,,,,2,,,11012722,250289.1,205000,149928.92,2100
2016-07-22,Kootenay,CENTRAL KOOTENAY,91,91,15,,3,,65,7,,1,,,,,,,,23067287,253486.7,240000,313434.87,2800
2016-08-01,Kootenay,CENTRAL KOOTENAY,38,37,9,,,,24,4,,,1,1,,,,,,13140966,345814.9,331000,180851.8,4510
2016-08-08,Kootenay,CENTRAL KOOTENAY,24,24,5,2,,1,13,3,,,,,,,,,,5606450,233602.1,217500,72726,2350
2016-08-15,Kootenay,CENTRAL KOOTENAY,50,46,8,1,,,34,3,,,4,4,,,,,,15566100,311322,255000,222310.54,3075
2016-08-22,Kootenay,CENTRAL KOOTENAY,71,66,12,1,,,47,2,,4,1,1,,,2,,2,20009272,281820.7,278000,253291.44,3000
2016-09-01,Kootenay,CENTRAL KOOTENAY,31,30,6,,,,21,3,,,,,,,1,,,9812450,316530.6,354000,139296.5,5080
2016-09-08,Kootenay,CENTRAL KOOTENAY,27,27,3,,1,,22,1,,,,,,,,,,6939526,257019.5,220000,83557.57,2000
2016-09-15,Kootenay,CENTRAL KOOTENAY,45,44,7,,,2,26,5,,4,,,,,1,,,10039153,223092.3,192000,129499.53,1920
2016-09-22,Kootenay,CENTRAL KOOTENAY,67,65,14,4,,,30,6,,11,1,1,,,1,,,20878171,311614.5,302000,297544.39,4040
2016-10-01,Kootenay,CENTRAL KOOTENAY,33,27,6,,,,17,1,,3,1,1,,,4,,1,6483362,196465.5,150000,86696.61,1500
2016-10-08,Kootenay,CENTRAL KOOTENAY,27,26,5,1,,,18,2,,,,,,,1,,,6889674,255173.1,260000,86510.5,2960
2016-10-15,Kootenay,CENTRAL KOOTENAY,32,29,2,1,1,,13,2,,10,1,1,,,1,1,,9505175,297036.7,278750,116748.76,3372
2016-10-22,Kootenay,CENTRAL KOOTENAY,88,86,6,,,,29,3,,48,,,,,1,1,,29250131,332387.9,330500,341626.42,3591
2016-06-01,Kootenay,EAST KOOTENAY,49,45,3,1,,,28,12,,1,2,2,,,2,,,11637826,237506.7,200000,150347.02,2000
2016-06-08,Kootenay,EAST KOOTENAY,31,28,3,,,,20,4,,1,3,3,,,,,,8855150,285650,250000,128406.5,3000
2016-06-15,Kootenay,EAST KOOTENAY,62,59,2,,2,2,41,11,,1,1,,,1,2,,,15896615,256397,224000,216940.92,2480
2016-06-22,Kootenay,EAST KOOTENAY,99,95,5,1,,,71,16,,2,2,1,,1,2,,,27111891,273857.5,250000,371314.69,2930
2016-07-01,Kootenay,EAST KOOTENAY,25,21,,,,,16,4,,1,,,,,4,,,5275598,211023.9,187500,68260.98,1875
2016-07-08,Kootenay,EAST KOOTENAY,32,31,3,,,,18,9,,1,,,,,1,,,8287935,258998,247500,107509.35,2600
2016-07-15,Kootenay,EAST KOOTENAY,56,54,1,1,2,,37,6,,7,1,1,,,1,,,15194850,271336.6,245000,203583.5,2900
2016-07-22,Kootenay,EAST KOOTENAY,71,62,4,,,2,47,9,,,4,4,,,5,,,19622738,276376.6,243280,276161.96,2865.6
2016-08-01,Kootenay,EAST KOOTENAY,34,31,,,,,24,7,,,2,1,,1,,,1,17017650,500519.1,266250,322299.5,3325
2016-08-08,Kootenay,EAST KOOTENAY,21,17,1,,,1,13,2,,,2,1,,1,1,1,,5912061,281526.7,260000,85970.61,3200
2016-08-15,Kootenay,EAST KOOTENAY,56,54,2,,1,1,36,12,,2,1,1,,,1,,,14615030,260982.7,235750,195281.3,2470
2016-08-22,Kootenay,EAST KOOTENAY,58,55,4,,,2,30,14,1,4,2,1,,1,1,,,18440277,317935.8,226000,266767.77,2470
2016-09-01,Kootenay,EAST KOOTENAY,51,50,2,,,1,32,15,,,1,1,,,,,,14650822,287271,242500,200899.45,2850
2016-09-08,Kootenay,EAST KOOTENAY,30,30,1,1,1,,21,6,,,,,,,,,,7894876,263162.5,247750,107748.76,2955
2016-09-15,Kootenay,EAST KOOTENAY,37,35,3,1,1,,24,5,,1,,,,,2,,,11175400,302037.8,270000,163212.76,3400
2016-09-22,Kootenay,EAST KOOTENAY,95,87,3,1,1,,45,10,2,25,5,3,,2,2,,1,30013050,315926.8,263000,431984.5,3260
2016-10-01,Kootenay,EAST KOOTENAY,42,42,7,1,,,22,7,1,4,,,,,,,,10422653,248158.4,230000,146703.06,2600
2016-10-08,Kootenay,EAST KOOTENAY,68,63,4,,,,50,5,,4,2,2,,,2,,1,17005238,250077,230000,218721.41,2600
2016-10-15,Kootenay,EAST KOOTENAY,28,21,1,,,,9,5,,6,,,,,6,1,,5789985,206785.2,215000,74440.6,2300
2016-10-22,Kootenay,EAST KOOTENAY,68,65,2,,,,38,9,,16,3,2,,1,,,,19169905,281910.4,217700,265378.02,2274
2016-06-01,Kootenay,KOOTENAY BOUNDARY,29,28,4,1,2,,15,6,,,,,,,1,,,6580500,226913.8,217000,84294,2340
2016-06-08,Kootenay,KOOTENAY BOUNDARY,17,17,2,1,,,14,,,,,,,,,,,3793800,223164.7,206000,47943,2120
2016-06-15,Kootenay,KOOTENAY BOUNDARY,31,30,4,,,,21,5,,,1,1,,,,,,6695090,215970.6,225000,80287.9,2200
2016-06-22,Kootenay,KOOTENAY BOUNDARY,73,69,11,,,,51,5,1,1,1,1,,,2,1,,16633242,227852.6,195000,219852.42,1950
2016-07-01,Kootenay,KOOTENAY BOUNDARY,13,13,2,,1,,10,,,,,,,,,,,2301950,177073.1,180000,28434.5,1800
2016-07-08,Kootenay,KOOTENAY BOUNDARY,14,12,2,,,,9,1,,,1,1,,,1,,,3149000,224928.6,234000,38620,2680
2016-07-15,Kootenay,KOOTENAY BOUNDARY,31,30,6,1,,,18,5,,,,,,,1,,,6290591,202922.3,198643.4,74259.88,1986.43
2016-07-22,Kootenay,KOOTENAY BOUNDARY,43,39,5,,,,28,4,,2,1,,,1,3,,,10739489,249755.6,210000,148047.78,2200
2016-08-01,Kootenay,KOOTENAY BOUNDARY,11,10,1,,,,7,2,,,1,1,,,,,,1899000,172636.4,149500,22280,1495
2016-08-08,Kootenay,KOOTENAY BOUNDARY,18,15,5,,,1,9,,,,3,3,,,,,,4089200,227177.8,231750,51017,2635
2016-08-15,Kootenay,KOOTENAY BOUNDARY,20,20,1,,,,16,2,,1,,,,,,,,5028667,251433.3,161250,71156.67,1612.5
2016-08-22,Kootenay,KOOTENAY BOUNDARY,41,38,5,,,,29,4,,,3,3,,,,,,8251000,201243.9,170000,103900,1700
2016-09-01,Kootenay,KOOTENAY BOUNDARY,17,14,,,,,13,1,,,3,3,,,,,,3437700,202217.6,182000,43267,1820
2016-09-08,Kootenay,KOOTENAY BOUNDARY,10,10,1,,,,9,,,,,,,,,,,2794200,279420,213750,41693,2387.5
2016-09-15,Kootenay,KOOTENAY BOUNDARY,15,14,,,,,14,,,,,,,,1,,,2651037,176735.8,149236.5,30264.37,970
2016-09-22,Kootenay,KOOTENAY BOUNDARY,44,39,2,,,,26,4,,7,4,1,,3,1,,,10057045,228569.2,197500,133234.9,1975
2016-10-01,Kootenay,KOOTENAY BOUNDARY,10,9,,,,,9,,,,1,,,1,,,,1577800,157780,152000,13218,1371.5
2016-10-08,Kootenay,KOOTENAY BOUNDARY,25,25,3,,,,20,,,2,,,,,,,,4831117,193244.7,180000,57912.84,1800
2016-10-15,Kootenay,KOOTENAY BOUNDARY,15,13,2,,,,11,,,,1,1,,,,,1,2747500,183166.7,138000,33685,1380
2016-10-22,Kootenay,KOOTENAY BOUNDARY,29,27,1,1,,,16,,,9,1,1,,,1,,,5615714,193645.3,173000,69091.14,1730
2016-06-01,Mainland/Southwest,FRASER VALLEY,218,211,13,1,4,,135,50,1,7,,,,,3,4,,99634065,457037,416250,1517628.17,5870
2016-06-08,Mainland/Southwest,FRASER VALLEY,171,167,7,3,3,,90,43,1,20,4,3,1,,,,,79175402,463014,365000,1201376.51,4803.42
2016-06-15,Mainland/Southwest,FRASER VALLEY,276,271,12,2,6,,168,71,,12,2,2,,,3,,,123731443,448302.3,412750,1841612.14,5808.455
2016-06-22,Mainland/Southwest,FRASER VALLEY,863,847,22,6,20,4,536,226,2,31,10,7,,3,3,3,,433147975,501909.6,450000,6909595.45,6600
2016-07-01,Mainland/Southwest,FRASER VALLEY,241,228,7,,9,,148,53,1,10,8,5,2,1,5,,,98752478,409761.3,389000,1510548.45,5500
2016-07-08,Mainland/Southwest,FRASER VALLEY,274,269,9,1,3,3,166,72,2,13,1,1,,,3,1,,132071578,482013.1,439450,2025286.76,5916.5
2016-07-15,Mainland/Southwest,FRASER VALLEY,254,239,8,1,2,3,139,57,5,24,10,8,,2,5,,,117334385,461946.4,400000,1748409.22,5025
2016-07-22,Mainland/Southwest,FRASER VALLEY,662,649,19,,5,,409,188,,28,8,5,,3,,5,,314427588,474966.1,439950,4785516.57,6349
2016-08-01,Mainland/Southwest,FRASER VALLEY,219,210,6,,5,1,130,51,,17,5,3,1,1,2,2,,125693156,573941.4,380000,2182449.63,5170
2016-08-08,Mainland/Southwest,FRASER VALLEY,175,172,12,7,4,,86,53,2,8,,,,,3,,,82904543,473740.2,436000,1282289.66,6300
2016-08-15,Mainland/Southwest,FRASER VALLEY,238,234,3,1,4,2,142,73,,9,4,3,1,,,,,107591274,452064.2,432000,1612295.48,5970
2016-08-22,Mainland/Southwest,FRASER VALLEY,697,677,30,6,12,,413,191,1,24,9,5,,4,3,5,3,360662896,517450.4,454285.7,5758243.02,6798
2016-09-01,Mainland/Southwest,FRASER VALLEY,201,185,6,1,2,,114,51,,11,6,2,1,3,7,2,1,94361805,469461.7,410000,1489263.92,6000
2016-09-08,Mainland/Southwest,FRASER VALLEY,161,151,7,1,5,1,83,45,,9,5,3,1,1,4,1,,89717627,557252.3,420000,1584569.69,6400
2016-09-15,Mainland/Southwest,FRASER VALLEY,206,197,9,,3,,95,45,,45,2,2,,,1,6,,106396013,516485.5,370000,1677974.98,4949
2016-09-22,Mainland/Southwest,FRASER VALLEY,526,519,14,3,9,1,234,131,1,126,4,1,3,,1,1,1,240173163,456603,397500,3594679.04,5627
2016-10-01,Mainland/Southwest,FRASER VALLEY,159,152,11,6,3,1,57,29,1,44,5,4,,1,1,1,,92821246,583781.4,393000,1583955.62,4200
2016-10-08,Mainland/Southwest,FRASER VALLEY,213,167,5,2,4,,75,48,1,32,35,,2,33,9,2,,100336116,471061.6,395642.4,1508561.7,5000
2016-10-15,Mainland/Southwest,FRASER VALLEY,139,137,2,1,4,,64,41,,25,1,1,,,,1,,77900499,560435.2,399100,1355668.8,4700
2016-10-22,Mainland/Southwest,FRASER VALLEY,455,405,7,,3,1,149,100,2,143,3,1,,2,,19,28,184991149,406574,371000,2609432.59,4750
2016-06-01,Mainland/Southwest,METRO VANCOUVER,1524,1476,14,,,10,554,591,7,300,44,16,15,13,1,3,,1856513623,1218184.8,600900,39339726.7,9740
2016-06-08,Mainland/Southwest,METRO VANCOUVER,1216,1178,8,4,,14,437,480,5,230,37,18,13,6,,,1,1240796859,1020392.2,624000,24579490.17,10178
2016-06-15,Mainland/Southwest,METRO VANCOUVER,1832,1787,15,1,,14,693,768,12,284,36,7,19,10,1,7,1,1996399603,1089737.8,636500,40568660.46,10557.36
2016-06-22,Mainland/Southwest,METRO VANCOUVER,4720,4634,61,11,16,36,2168,1972,21,349,76,31,33,12,2,3,5,5056683260,1071331.2,728238.1,99455607.03,12500
2016-07-01,Mainland/Southwest,METRO VANCOUVER,1378,1360,4,1,4,17,562,618,11,143,17,9,5,3,1,,,1494089439,1084244.9,700250,29990310.25,11779
2016-07-08,Mainland/Southwest,METRO VANCOUVER,1774,1740,13,4,5,11,610,639,3,455,28,9,16,3,1,2,3,1579742993,890497.7,589450,28826794.91,9200
2016-07-15,Mainland/Southwest,METRO VANCOUVER,1586,1553,12,9,3,19,624,635,13,238,23,9,8,6,,,10,1565037313,986782.7,680490,29720159.72,11468.15
2016-07-22,Mainland/Southwest,METRO VANCOUVER,4302,4233,42,5,13,27,1860,1872,15,399,63,11,35,17,,1,5,4601509410,1069621,714894,90550661.94,12180
2016-08-01,Mainland/Southwest,METRO VANCOUVER,1183,1155,14,,1,8,438,527,9,158,26,6,14,6,2,,,1190341241,1006205.6,638750,23322911.21,10700
2016-08-08,Mainland/Southwest,METRO VANCOUVER,1007,981,6,6,1,8,395,417,11,137,24,8,11,5,1,,1,1053777286,1046452.1,663900,21141798.43,11020
2016-08-15,Mainland/Southwest,METRO VANCOUVER,1526,1506,13,5,7,14,531,649,19,268,18,2,10,6,,1,1,1389630548,910636,626500,26141236.41,10149
2016-08-22,Mainland/Southwest,METRO VANCOUVER,3378,3306,35,12,17,27,1341,1516,13,345,59,17,32,10,,8,5,3237890005,958522.8,668278,63087242.76,11300
2016-09-01,Mainland/Southwest,METRO VANCOUVER,1024,995,7,1,1,14,330,490,9,143,26,8,16,2,1,2,,959894315,937396.8,582595,19500838.89,9010
2016-09-08,Mainland/Southwest,METRO VANCOUVER,912,896,11,2,6,13,289,418,12,145,10,3,4,3,1,4,1,796218121,873046.2,589900,15404058.06,9201.01
2016-09-15,Mainland/Southwest,METRO VANCOUVER,1155,1089,26,3,4,8,397,470,11,170,60,30,13,17,3,1,2,1241879230,1075220.1,622000,27273165.11,10400
2016-09-22,Mainland/Southwest,METRO VANCOUVER,2777,2664,22,5,10,15,791,1185,13,623,108,63,21,24,1,3,1,3013571594,1085189.6,585000,65690765.36,9500
2016-10-01,Mainland/Southwest,METRO VANCOUVER,796,765,5,5,1,11,225,309,5,204,28,8,11,9,,1,2,732055407,919667.6,567499.5,15135468.13,9000
2016-10-08,Mainland/Southwest,METRO VANCOUVER,796,771,3,2,2,6,229,333,4,192,19,1,12,6,,,6,627638613,788490.7,520000,13231900.6,8279
2016-10-15,Mainland/Southwest,METRO VANCOUVER,1123,1099,6,1,3,10,208,344,6,521,19,6,8,5,,,5,830971891,739957.2,479566.5,17786263.04,7050
2016-10-22,Mainland/Southwest,METRO VANCOUVER,2124,2059,10,2,3,8,409,674,8,945,58,6,7,45,3,1,3,1776006197,836161.1,526845,38794354.96,8100
2016-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,51,42,2,1,,,19,15,5,,1,,1,,8,,,42637887,836037,557500,848067.78,9150
2016-06-08,Mainland/Southwest,SQUAMISH-LILLOOET,42,33,3,,,,13,13,4,,1,1,,,8,,,25991999,618857.1,497925,476903.49,7958.5
2016-06-15,Mainland/Southwest,SQUAMISH-LILLOOET,67,56,2,2,1,,16,28,5,2,2,1,1,,9,,,56690688,846129.7,454000,1145804.76,7080
2016-06-22,Mainland/Southwest,SQUAMISH-LILLOOET,171,163,6,,,,68,64,23,2,2,,2,,5,,1,104449398,610815.2,474000,1826200.43,7480
2016-07-01,Mainland/Southwest,SQUAMISH-LILLOOET,51,44,2,6,,,14,13,4,5,2,,1,1,4,1,,21023775,412230.9,339000,337747.75,4780
2016-07-08,Mainland/Southwest,SQUAMISH-LILLOOET,62,34,1,1,,,19,9,3,1,26,,26,,2,,,37569183,605954.6,462727.5,628908.26,7254.55
2016-07-15,Mainland/Southwest,SQUAMISH-LILLOOET,57,54,1,,,1,19,16,6,11,,,,,3,,,30129068,528580.1,385000,469172.44,4900
2016-07-22,Mainland/Southwest,SQUAMISH-LILLOOET,115,108,8,,,1,36,55,6,2,3,1,2,,3,1,,69766457,606664.8,459000,1196600.85,7180
2016-08-01,Mainland/Southwest,SQUAMISH-LILLOOET,53,53,2,,,1,17,17,1,15,,,,,,,,33552000,633056.6,427000,578425,6540
2016-08-08,Mainland/Southwest,SQUAMISH-LILLOOET,42,36,1,,,,13,13,5,4,2,,1,1,2,2,,29195276,695125.6,624166.7,501334.57,9865
2016-08-15,Mainland/Southwest,SQUAMISH-LILLOOET,58,52,3,,,,18,23,2,6,2,,2,,,4,,46169540,796026.5,506388.5,884098.84,8000
2016-08-22,Mainland/Southwest,SQUAMISH-LILLOOET,120,114,5,2,1,,44,48,7,7,2,,2,,3,,1,87625478,730212.3,485000,1600782.6,7600
2016-09-01,Mainland/Southwest,SQUAMISH-LILLOOET,64,61,5,,1,,22,19,9,5,1,,1,,2,,,33319100,520610.9,435000,536346,6150
2016-09-08,Mainland/Southwest,SQUAMISH-LILLOOET,48,44,1,,1,,14,16,5,7,1,1,,,3,,,30102417,627133.7,437400,504345.17,6748
2016-09-15,Mainland/Southwest,SQUAMISH-LILLOOET,53,49,1,,2,,12,28,6,,3,1,1,1,1,,,29986008,565773.7,420000,507416.95,6400
2016-09-22,Mainland/Southwest,SQUAMISH-LILLOOET,105,97,6,,,,19,46,18,8,2,1,,1,4,,2,67086350,638917.6,429000,1235173.48,6580
2016-10-01,Mainland/Southwest,SQUAMISH-LILLOOET,58,53,2,3,,,21,16,3,8,3,1,,2,2,,,37891461,653301,427017.2,636233.95,5719
2016-10-08,Mainland/Southwest,SQUAMISH-LILLOOET,39,39,2,1,1,,12,14,5,4,,,,,,,,22370784,573609.8,475000,383240.68,7500
2016-10-15,Mainland/Southwest,SQUAMISH-LILLOOET,39,35,5,,,,4,14,10,2,1,,,1,3,,,18356637,470683,320000,299633.75,4400
2016-10-22,Mainland/Southwest,SQUAMISH-LILLOOET,100,90,7,1,,,18,24,8,32,2,,1,1,8,,,58585926,585859.3,419500,1022867.72,6336.605
2016-06-01,Mainland/Southwest,SUNSHINE COAST,36,35,2,,,,25,3,,5,,,,,1,,,14947271,415202,305000,223560,3650
2016-06-08,Mainland/Southwest,SUNSHINE COAST,40,36,4,,,,28,2,,2,1,1,,,2,,1,17932200,448305,329000,292961.5,4580
2016-06-15,Mainland/Southwest,SUNSHINE COAST,53,51,8,,,1,36,6,,,,,,,,,2,23364319,440836.2,389000,353114.48,5500
2016-06-22,Mainland/Southwest,SUNSHINE COAST,137,128,15,,1,,87,19,2,4,3,3,,,6,,,62003945,452583.5,380000,965673.19,5500
2016-07-01,Mainland/Southwest,SUNSHINE COAST,44,41,6,,,,30,5,,,,,,,2,,1,20919110,475434.3,421300,327541.77,6341
2016-07-08,Mainland/Southwest,SUNSHINE COAST,43,42,7,,,,29,5,,1,1,1,,,,,,18911340,439798.6,369000,290988.9,4990
2016-07-15,Mainland/Southwest,SUNSHINE COAST,39,37,5,1,,1,26,3,1,,,,,,2,,,17652953,452639.8,389000,277095.59,5780
2016-07-22,Mainland/Southwest,SUNSHINE COAST,91,89,10,1,,,65,11,,2,,,,,2,,,45096179,495562.4,419500,720515.73,6300
2016-08-01,Mainland/Southwest,SUNSHINE COAST,29,29,1,2,,1,19,3,,3,,,,,,,,19215153,662591.5,484000,324985,7680
2016-08-08,Mainland/Southwest,SUNSHINE COAST,22,22,1,,,,14,4,,3,,,,,,,,8741905,397359.3,346750,129510,4935
2016-08-15,Mainland/Southwest,SUNSHINE COAST,34,34,1,,,,24,9,,,,,,,,,,15515744,456345.4,399950,224225.32,5549
2016-08-22,Mainland/Southwest,SUNSHINE COAST,57,57,3,,,,42,10,,2,,,,,,,,27119071,475773.2,380000,376983,5235
2016-09-01,Mainland/Southwest,SUNSHINE COAST,16,12,4,,,,7,1,,,3,2,,1,1,,,5639640,352477.5,349500,76131.81,4320
2016-09-08,Mainland/Southwest,SUNSHINE COAST,18,18,2,,,,14,2,,,,,,,,,,11131050,618391.7,508750,184108,8175
2016-09-15,Mainland/Southwest,SUNSHINE COAST,35,34,3,,,,27,4,,,,,,,1,,,15342693,438362.7,415500,231340.62,6100
2016-09-22,Mainland/Southwest,SUNSHINE COAST,62,58,5,3,,,33,5,,12,2,1,,1,,2,,44379843,715803.9,462500,835147.28,7100
2016-10-01,Mainland/Southwest,SUNSHINE COAST,14,14,3,,,,8,2,,1,,,,,,,,6539298,467092.7,494750,100070,7895
2016-10-08,Mainland/Southwest,SUNSHINE COAST,20,20,2,,,,11,5,,2,,,,,,,,9238772,461938.6,404750,135264.5,5599
2016-10-15,Mainland/Southwest,SUNSHINE COAST,16,15,1,,,,8,5,,1,,,,,1,,,6969900,435618.8,403750,107498,6075
2016-10-22,Mainland/Southwest,SUNSHINE COAST,25,23,,,,,7,3,,13,,,,,,1,1,13857361,554294.4,422500,237637.22,6450
2016-06-01,Nechako & North Coast,BULKLEY-NECHAKO,22,20,10,,,,9,,,1,2,2,,,,,,2562800,116490.9,86514,29613,865.14
2016-06-08,Nechako & North Coast,BULKLEY-NECHAKO,22,17,10,,,,7,,,,3,2,,1,2,,,3333020,151500.9,134500,38505.2,1345
