"Geographic code","Geographic name, english","Geographic name, french","Statistical Area Classification (SAC), english","Statistical Area Classification (SAC), french","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016",
"01","Canada","Canada","Total population by Statistical area classification (SAC)","Population totale selon la Classification des secteurs statistiques (CSS)",35151728,T,15412443,14072079,
"01","Canada","Canada","  Within CMA (census metropolitan area)","  Dans les RMR (Région métropolitaine de recensement)",24945123,T,10418482,9835657,
"01","Canada","Canada","  Within CA (census agglomeration)","  À l'extérieur des RMR/AR (Région métropolitaine de recensement / agglomération de recensement)",4287834,T,1962457,1812957,
"01","Canada","Canada","    Within tracted CA (census agglomeration)","    Dans les AR (Agglomération de recensement) subdivisée en SR correspondante",1237929,T,552392,513454,
"01","Canada","Canada","    Within non-tracted CA (census agglomeration)","    Dans les RMR (Région métropolitaine de recensement) sans subdivisée en SR correspondante",3049905,F,1410065,1299503,
"01","Canada","Canada","  Outside CMA/CA (census metropolitan area/census agglomeration)","  À l'extérieur des RMR/AR (Région métropolitaine de recensement / agglomération de recensement)",5918771,T,3031504,2423465,
"01","Canada","Canada","    Strongly influenced","    Influence forte",1993705,T,976109,807911,
"01","Canada","Canada","    Moderately influenced","    Influence modérée",2312603,T,1268878,977351,
"01","Canada","Canada","    Weakly influenced","    Influence faible",1307851,F,635616,531496,
"01","Canada","Canada","    Not influenced","    Sans influence",238802,T,124089,85448,
"01","Canada","Canada","    Territories","    Territoires",65810,F,26812,21259,
"10","Newfoundland and Labrador","Terre-Neuve-et-Labrador","Total population by Statistical area classification (SAC)","Population totale selon la Classification des secteurs statistiques (CSS)",519716,F,265739,218673,
"10","Newfoundland and Labrador","Terre-Neuve-et-Labrador","  Within CMA (census metropolitan area)","  Dans les RMR (Région métropolitaine de recensement)",205955,F,92353,85015,
"10","Newfoundland and Labrador","Terre-Neuve-et-Labrador","  Within CA (census agglomeration)","  À l'extérieur des RMR/AR (Région métropolitaine de recensement / agglomération de recensement)",70405,F,32695,29752,
"10","Newfoundland and Labrador","Terre-Neuve-et-Labrador","    Within tracted CA (census agglomeration)","    Dans les AR (Agglomération de recensement) subdivisée en SR correspondante",0,F,0,0,
"10","Newfoundland and Labrador","Terre-Neuve-et-Labrador","    Within non-tracted CA (census agglomeration)","    Dans les RMR (Région métropolitaine de recensement) sans subdivisée en SR correspondante",70405,F,32695,29752,
"10","Newfoundland and Labrador","Terre-Neuve-et-Labrador","  Outside CMA/CA (census metropolitan area/census agglomeration)","  À l'extérieur des RMR/AR (Région métropolitaine de recensement / agglomération de recensement)",243356,F,140691,103906,
"10","Newfoundland and Labrador","Terre-Neuve-et-Labrador","    Strongly influenced","    Influence forte",36172,F,23046,15506,
"10","Newfoundland and Labrador","Terre-Neuve-et-Labrador","    Moderately influenced","    Influence modérée",121079,F,68185,52634,
"10","Newfoundland and Labrador","Terre-Neuve-et-Labrador","    Weakly influenced","    Influence faible",60285,F,29971,25020,
"10","Newfoundland and Labrador","Terre-Neuve-et-Labrador","    Not influenced","    Sans influence",25820,F,19489,10746,
"10","Newfoundland and Labrador","Terre-Neuve-et-Labrador","    Territories","    Territoires",0,F,0,0,
"11","Prince Edward Island","Île-du-Prince-Édouard","Total population by Statistical area classification (SAC)","Population totale selon la Classification des secteurs statistiques (CSS)",142907,F,71119,59472,
"11","Prince Edward Island","Île-du-Prince-Édouard","  Within CMA (census metropolitan area)","  Dans les RMR (Région métropolitaine de recensement)",0,F,0,0,
"11","Prince Edward Island","Île-du-Prince-Édouard","  Within CA (census agglomeration)","  À l'extérieur des RMR/AR (Région métropolitaine de recensement / agglomération de recensement)",85912,F,39719,36167,
"11","Prince Edward Island","Île-du-Prince-Édouard","    Within tracted CA (census agglomeration)","    Dans les AR (Agglomération de recensement) subdivisée en SR correspondante",0,F,0,0,
"11","Prince Edward Island","Île-du-Prince-Édouard","    Within non-tracted CA (census agglomeration)","    Dans les RMR (Région métropolitaine de recensement) sans subdivisée en SR correspondante",85912,F,39719,36167,
"11","Prince Edward Island","Île-du-Prince-Édouard","  Outside CMA/CA (census metropolitan area/census agglomeration)","  À l'extérieur des RMR/AR (Région métropolitaine de recensement / agglomération de recensement)",56995,F,31400,23305,
"11","Prince Edward Island","Île-du-Prince-Édouard","    Strongly influenced","    Influence forte",25323,F,14705,10139,
"11","Prince Edward Island","Île-du-Prince-Édouard","    Moderately influenced","    Influence modérée",30395,F,15986,12622,
"11","Prince Edward Island","Île-du-Prince-Édouard","    Weakly influenced","    Influence faible",460,F,246,171,
"11","Prince Edward Island","Île-du-Prince-Édouard","    Not influenced","    Sans influence",817,F,463,373,
"11","Prince Edward Island","Île-du-Prince-Édouard","    Territories","    Territoires",0,F,0,0,
"12","Nova Scotia","Nouvelle-Écosse","Total population by Statistical area classification (SAC)","Population totale selon la Classification des secteurs statistiques (CSS)",923598,F,458568,401990,
"12","Nova Scotia","Nouvelle-Écosse","  Within CMA (census metropolitan area)","  Dans les RMR (Région métropolitaine de recensement)",403390,F,187478,173459,
"12","Nova Scotia","Nouvelle-Écosse","  Within CA (census agglomeration)","  À l'extérieur des RMR/AR (Région métropolitaine de recensement / agglomération de recensement)",205184,F,98993,89678,
"12","Nova Scotia","Nouvelle-Écosse","    Within tracted CA (census agglomeration)","    Dans les AR (Agglomération de recensement) subdivisée en SR correspondante",0,F,0,0,
"12","Nova Scotia","Nouvelle-Écosse","    Within non-tracted CA (census agglomeration)","    Dans les RMR (Région métropolitaine de recensement) sans subdivisée en SR correspondante",205184,F,98993,89678,
"12","Nova Scotia","Nouvelle-Écosse","  Outside CMA/CA (census metropolitan area/census agglomeration)","  À l'extérieur des RMR/AR (Région métropolitaine de recensement / agglomération de recensement)",315024,F,172097,138853,
"12","Nova Scotia","Nouvelle-Écosse","    Strongly influenced","    Influence forte",71638,F,37101,30750,
